"country","overburden_rate_2023","one_person_household_2023","population_change_2023","household_adjusted","income_inequality","log_gdp","gov_expenditure","hicp_avg"
"Belgium",7.7,1859.5,6.4,36.1650815878017,24.2,4.77068462446567,0.2,129.3025
"Bulgaria",11.1,998.3,6.4,34.9936904094223,37.2,4.15888308335967,1.1,146.301666666667
"Czechia",9.1,1435,8.7,31.7977353807973,24.4,4.49980967033027,0.6,171.808333333333
"Denmark",15.4,1475.4,5,47.6827612953267,28.2,4.8283137373023,0.4,119.75
"Germany",13,17281.4,8.1,41.4965398339312,29.4,4.75359019110636,0.3,130.366666666667
"Estonia",7.6,376,10.1,51.9839623945804,31.8,4.38202663467388,0.5,197.120833333333
"Ireland",4.7,529.8,11.4,26.0126675504493,27.4,5.36129216570943,0.7,165.816666666667
"Greece",28.5,1049.8,4.1,25.6543095232277,31.8,4.23410650459726,0,113.455
"Spain",8.2,5589.5,13.4,28.8672092879129,31.5,4.51085950651685,0.4,110.435
"France",6.5,12846.6,2.2,40.7091928890579,29.7,4.59511985013459,0.7,125.775833333333
"Croatia",4,389.9,7.8,27.1574841540712,29.7,4.33073334028633,0.5,119.109166666667
"Italy",5.7,9484.4,4.5,36.1897784595191,31.5,4.58496747867057,7.3,150.75
"Cyprus",2.6,96.1,14.4,25.9449244060475,29.6,4.57471097850338,0.5,143.336666666667
"Latvia",7.2,367.1,1.3,42.0889704196285,34,4.24849524204936,0.6,166.1125
"Lithuania",5.2,792.2,15.7,50.8831652643073,35.7,4.46590811865458,0.4,173.273333333333
"Luxembourg",11.5,97.9,14,35.0644699140401,30.6,5.46806014113513,0.6,120.894166666667
"Hungary",8.7,1296.6,2.7,32.0813539192399,29,4.34380542185368,1,144.125
"Malta",6,75.6,37.9,34.1309255079007,33,4.67282883446191,0.2,125.601666666667
"Netherlands",9.3,3766.9,7.6,43.8700285331625,26.5,4.89034912822175,0.8,138.9125
"Austria",6,1621.8,7.2,39.0964755797695,28.1,4.78749174278205,0.5,145.666666666667
"Poland",5.9,4728.8,0.1,31.0160497956881,27,4.34380542185368,0.8,169.9
"Portugal",4.9,1091.4,14.7,24.9064354176175,33.7,4.39444915467244,0.4,117.641666666667
"Romania",9.1,2379.8,5.1,31.5180250576113,31,4.35670882668959,1,166.678333333333
"Slovenia",3.7,282.9,5.4,33.1614113234087,23.4,4.52178857704904,0.3,144.9525
"Slovakia",5.9,186.5,0.3,10.8398721301947,21.6,4.30406509320417,0.2,131.971666666667
"Finland",5.5,1409.1,10.4,48.3694905945352,26.6,4.65396035015752,0.4,128.5525
"Sweden",10.9,1888,2.3,39.6663655272391,29.5,4.7361984483945,0.4,127.3775
